question,answer
What’s the difference between headaches and migraines?,"Headaches are divided into TWO categories: \n
Primary headaches\n
Based on SYMPTOMS, and include:\n
1) Tension-type headaches,\n
2) Cluster headaches,\n
3) Migraines, and\n
4) Cervicogenic headaches.\n
Secondary headaches\n
Based on CONDITIONS, and include: \n
1) Stroke,\n
2) Head injury,\n
3) Substance withdrawal (drugs, alcohol, caffeine, etc.),\n
4) Conditions of eyes, ears, sinuses, etc. and more\n
Many people with recurring headaches have primary headaches. Tick the checklists of these boxes to figure out which type of primary headache you have:\n
A. Tension-type headaches\n
– Feels like a pressure or tightening around your head\n
– Doesn’t pulsate\n
– No nausea or vomiting\n
– No sensitivity or light or sound, OR only sensitivity to one\n
– Still able to go about your daily activities\n
B. Migraines\n
– Pain on ONE side of your head, pulsating\n
– Stops you from doing your daily activities\n
– Nausea or vomiting\n
– Sensitivity to light or sound\n
– May have vision changes (seeing bright lights, blind spots) or tingling in face\n
– Symptoms gets worse when you move around\n
C. Cluster headaches\n
– Severe pain on ONE side of your head\n
– Pain lasts 15 minutes to 3 hours\n
– Forehead/facial sweating\n
– Stuffy or runny nose, eye tearing up on the same side of headache\n
– Swelling of the eyelid on the same side of headache\n
D. Cervicogenic Headaches\n
– Pain starts in the neck or base of the skull, and may go up to one side OR both sides of your head\n
– Pain gets worse when you hold your neck in a certain position for a long time (Sitting at the desk looking at the computer screen)\n
– Movement of your neck may make it feel better OR worse\n
– Pressing the muscles around your neck makes it feel better\n"
How do I know which headache I have?,"Headaches are divided into TWO categories: \n
Primary headaches\n
Based on SYMPTOMS, and include:\n
1) Tension-type headaches,\n
2) Cluster headaches,\n
3) Migraines, and\n
4) Cervicogenic headaches.\n
Secondary headaches\n
Based on CONDITIONS, and include: \n
1) Stroke,\n
2) Head injury,\n
3) Substance withdrawal (drugs, alcohol, caffeine, etc.),\n
4) Conditions of eyes, ears, sinuses, etc. and more\n
Many people with recurring headaches have primary headaches. Tick the checklists of these boxes to figure out which type of primary headache you have:\n
A. Tension-type headaches\n
– Feels like a pressure or tightening around your head\n
– Doesn’t pulsate\n
– No nausea or vomiting\n
– No sensitivity or light or sound, OR only sensitivity to one\n
– Still able to go about your daily activities\n
B. Migraines\n
– Pain on ONE side of your head, pulsating\n
– Stops you from doing your daily activities\n
– Nausea or vomiting\n
– Sensitivity to light or sound\n
– May have vision changes (seeing bright lights, blind spots) or tingling in face\n
– Symptoms gets worse when you move around\n
C. Cluster headaches\n
– Severe pain on ONE side of your head\n
– Pain lasts 15 minutes to 3 hours\n
– Forehead/facial sweating\n
– Stuffy or runny nose, eye tearing up on the same side of headache\n
– Swelling of the eyelid on the same side of headache\n
D. Cervicogenic Headaches\n
– Pain starts in the neck or base of the skull, and may go up to one side OR both sides of your head\n
– Pain gets worse when you hold your neck in a certain position for a long time (Sitting at the desk looking at the computer screen)\n
– Movement of your neck may make it feel better OR worse\n
– Pressing the muscles around your neck makes it feel better\n"
Do migraines or headaches cause any damage to my brain?,"There has not been any proven research showing that migraines or headaches cause brain damage. Some research evidence has shown that sufferers of migraine with aura (seeing flashing lights, wavy lines, dots, or blurry vision, or blind spots, 20-60 minutes before a migraine) have an increased risk of stroke. However, in young people with NO other risk factors (e.g. high blood pressure, obesity, history of smoking, etc.) the risk of stroke is minimal."
"Why is it when my neck is painful, my head starts to hurt?","This is what we call a cervicogenic headache. The joints of our spine around our neck and the muscles surrounding it connect to our head.  When we have stiffness around our neck and shoulders (from our spine or our muscles), they can cause the radiation of pain from the neck to our head. Keeping our head and neck in static positions, such as looking too long at the computer screen, can trigger that tension and stiffness, resulting in headaches."
I feel tired all the time. Is it related to my headaches?,"You might want to ask yourself several questions when you’re feeling tired all the time: Are you getting enough uninterrupted.sleep at night? Are you drinking enough water (At least 2 litres) per day? Are you currently taking any medication? How are your mental and emotional stress levels? Inadequate sleep and hydration are lifestyle factors that influence headaches a lot. Lack of sleep and hydration may cause constriction of small blood vessels around your head and neck, and result in the tiredness that you feel as well as headaches. Certain medications such as allergy or flu medication may cause drowsiness.
Mental and emotional stress causes tension around the muscles of your head and neck resulting in physical fatigue, but can also result in mental fatigue. Over the long term, mental fatigue can result in burnout and physical symptoms like headaches or nausea."
Does weather have any effect on headaches?,"Heat-induced headaches (such as a headache after you’ve been walking outside in the hot sun) can be partly due to dehydration. If you have a history of migraines, bright light and sudden changes in temperature can be a trigger for migraines.
To determine whether your headache is due to dehydration from the hot weather, drink a few glasses of water or juice (not caffeine or soda!) and see if your headache goes off in 30 minutes to 2 hours. If it doesn’t, it may be a migraine trigger for you."
Why do my headaches get worse when I’m on my period?,"Hormonal changes during your period can be a trigger for migraines due to changing levels of estrogen and progesterone. The use of heat packs, gentle neck stretches and exercises, and lifestyle factors such as reducing caffeine and getting enough sleep can help regulate these changes. If migraines during your period are severe enough to stop you from going about your daily life, please consult a doctor for further advice!"
I find myself having to take painkillers often… Are there any side effects to my body?,"Long-term use of painkillers to relieve your headache can cause over-dependence and you may get used to the dosage, causing you to take a higher dosage to get relief. Too much painkiller use over long periods of time may result in liver damage. If your painkiller of choice is a Non-Steroidal Anti-Inflammatory Drug (NSAID), it may result in bleeding of your stomach lining. If you find yourself having to take painkillers regularly (multiple times a week) to relieve your headaches, please consult a doctor to further determine the cause of your severe headaches."
Are there any treatments which are non-medication based that are effective?,"A physiotherapist can help by teaching you certain relaxation methods, exercises, and stretches around the shoulder, neck and head so you learn to manage and prevent headaches. Adjustments by a chiropractor can help to modulate pain mechanisms and reduce headaches. Other alternative treatments such as acupuncture and massage have also been shown to bring relief. Discuss it with your trusted healthcare professional to start identifying what treatments will be best suited for your condition and body!"
Will the headaches ever completely disappear?,"Whether it will completely disappear depends on the cause of your headaches. Understanding the cause of your headaches/migraines, as well as your triggers, will be very helpful in managing the occurrence and severity of it. With lifestyle changes, preventing triggering factors, and knowing ways to stretch, move, or even breathe, can go a long way in minimising the effect of headaches in your life with minimal medication use."
